[22:20:11] [main/INFO]: Loading Minecraft 1.20.1 with Fabric Loader 0.18.2
[22:20:11] [main/INFO]: Loading 4 mods:
	- fabricloader 0.18.2
	   \-- mixinextras 0.5.0
	- java 17
	- minecraft 1.20.1
[22:20:11] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=file:/workspaces/server/servidor_minecraft/libraries/net/fabricmc/sponge-mixin/0.16.5+mixin.0.8.7/sponge-mixin-0.16.5+mixin.0.8.7.jar Service=Knot/Fabric Env=SERVER
[22:20:21] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[22:20:25] [main/INFO]: Loaded 7 recipes
[22:20:25] [main/INFO]: Loaded 1271 advancements
[22:20:26] [Server thread/INFO]: Starting minecraft server version 1.20.1
[22:20:26] [Server thread/INFO]: Loading properties
[22:20:26] [Server thread/INFO]: Default game type: SURVIVAL
[22:20:26] [Server thread/INFO]: Generating keypair
[22:20:26] [Server thread/INFO]: Starting Minecraft server on *:25565
[22:20:26] [Server thread/INFO]: Using epoll channel type
[22:20:26] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[22:20:26] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[22:20:26] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[22:20:26] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[22:20:26] [Server thread/INFO]: Preparing level "world"
[22:20:52] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:20:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:20:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:20:54] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:20:54] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:20:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:20:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:20:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:20:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:20:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:20:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:20:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:20:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:20:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:20:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:00] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:00] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:03] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:03] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:05] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:05] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:06] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:06] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:07] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:07] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:08] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:08] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:09] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:09] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:10] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:10] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:11] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:11] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:13] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:13] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:15] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:15] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:16] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:16] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:17] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:17] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:18] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:18] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:19] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:19] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:20] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:20] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:21] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:21] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:22] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:22] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:23] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:23] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:24] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:24] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:26] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:26] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:27] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:27] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:28] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:28] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:21:29] [Worker-Main-1/INFO]: Preparing spawn area: 2%
[22:21:30] [Worker-Main-1/INFO]: Preparing spawn area: 7%
[22:21:30] [Worker-Main-1/INFO]: Preparing spawn area: 24%
[22:21:31] [Worker-Main-1/INFO]: Preparing spawn area: 27%
[22:21:31] [Worker-Main-1/INFO]: Preparing spawn area: 33%
[22:21:32] [Worker-Main-1/INFO]: Preparing spawn area: 41%
[22:21:32] [Worker-Main-1/INFO]: Preparing spawn area: 46%
[22:21:33] [Worker-Main-1/INFO]: Preparing spawn area: 64%
[22:21:33] [Worker-Main-1/INFO]: Preparing spawn area: 68%
[22:21:34] [Worker-Main-1/INFO]: Preparing spawn area: 74%
[22:21:34] [Worker-Main-1/INFO]: Preparing spawn area: 82%
[22:21:35] [Worker-Main-1/INFO]: Preparing spawn area: 84%
[22:21:35] [Worker-Main-1/INFO]: Preparing spawn area: 86%
[22:21:36] [Worker-Main-1/INFO]: Preparing spawn area: 89%
[22:21:36] [Worker-Main-1/INFO]: Preparing spawn area: 94%
[22:21:37] [Worker-Main-1/INFO]: Preparing spawn area: 96%
[22:21:37] [Worker-Main-1/INFO]: Preparing spawn area: 97%
[22:21:38] [Worker-Main-1/INFO]: Preparing spawn area: 98%
[22:21:40] [Server thread/INFO]: Time elapsed: 58315 ms
[22:21:40] [Server thread/INFO]: Done (73.905s)! For help, type "help"
